gene	accession	hmmsource
Alg44_msa_trim	Alg44	Bundalovich_Torma_2020
Alg8_msa_trim	Alg8	Bundalovich_Torma_2020
AlgA_msa_trim	AlgA	Bundalovich_Torma_2020
AlgD_msa_trim	AlgD	Bundalovich_Torma_2020
AlgE_msa_trim	AlgE	Bundalovich_Torma_2020
AlgF_msa_trim	AlgF	Bundalovich_Torma_2020
AlgG_msa_trim	AlgG	Bundalovich_Torma_2020
AlgI_msa_trim	AlgI	Bundalovich_Torma_2020
AlgJ_msa_trim	AlgJ	Bundalovich_Torma_2020
AlgK_msa_trim	AlgK	Bundalovich_Torma_2020
AlgL_msa_trim	AlgL	Bundalovich_Torma_2020
AlgX_msa_trim	AlgX	Bundalovich_Torma_2020
BcsA_msa_trim	BcsA	Bundalovich_Torma_2020
BcsB_msa_trim	BcsB	Bundalovich_Torma_2020
BcsC_msa_trim	BcsC	Bundalovich_Torma_2020
BcsZ_msa_trim	BcsZ	Bundalovich_Torma_2020
PelA_msa_trim	PelA	Bundalovich_Torma_2020
PelB_msa_trim	PelB	Bundalovich_Torma_2020
PelC_msa_trim	PelC	Bundalovich_Torma_2020
PelD_msa_trim	PelD	Bundalovich_Torma_2020
PelE_msa_trim	PelE	Bundalovich_Torma_2020
PelF_msa_trim	PelF	Bundalovich_Torma_2020
PelG_msa_trim	PelG	Bundalovich_Torma_2020
PgaA_msa_trim	PgaA	Bundalovich_Torma_2020
PgaB_msa_trim	PgaB	Bundalovich_Torma_2020
PgaC_msa_trim	PgaC	Bundalovich_Torma_2020
PgaD_msa_trim	PgaD	Bundalovich_Torma_2020
WssB_msa_trim	WssB	Bundalovich_Torma_2020
WssC_msa_trim	WssC	Bundalovich_Torma_2020
WssD_msa_trim	WssD	Bundalovich_Torma_2020
WssE_msa_trim	WssE	Bundalovich_Torma_2020
WssF_msa_trim	WssF	Bundalovich_Torma_2020
WssG_msa_trim	WssG	Bundalovich_Torma_2020
WssH_msa_trim	WssH	Bundalovich_Torma_2020
WssI_msa_trim	WssI	Bundalovich_Torma_2020
WssJ_msa_trim	WssJ	Bundalovich_Torma_2020
